[Script Info]
; Script generated by Aegisub 3.4.2
; http://www.aegisub.org/
ScriptType: v4.00+
PlayResX: 1440
PlayResY: 1080
WrapStyle: 2
YCbCr Matrix: TV.709

[Aegisub Project Garbage]
Audio File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video File: [shincaps] Honzuki no Gekokujou ~Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen~ Ryoushu no Youjo - 08 (AT-X 1440x1080 MPEG2 AAC).ts
Video AR Mode: 4
Video AR Value: 1.777778
Video Zoom Percent: 0.500000
Scroll Position: 72
Active Line: 2
Video Position: 1449

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,sans-serif,72,&H00FFFFFF,&H00FFFFFF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,4,0,8,2,15,15,20,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:08:45.56,9:59:59.99,Default,,0,0,0,,ハッセに恵みをもたらす神殿長か➡
Dialogue: 0,0:08:50.40,9:59:59.99,Default,,0,0,0,,それとも 小金を稼げる貴族か…｡
Dialogue: 0,0:08:53.40,9:59:59.99,Default,,0,0,0,,どちらを選ぶのか確かめたい｡
Dialogue: 0,0:08:55.74,9:59:59.99,Default,,0,0,0,,でも これ…
Dialogue: 0,0:08:55.74,9:59:59.99,Default,,0,0,0,,不正の根拠になりますよね？
Dialogue: 0,0:08:59.07,9:59:59.99,Default,,0,0,0,,放置しておいて
Dialogue: 0,0:08:59.07,9:59:59.99,Default,,0,0,0,,大丈夫なのですか？
Dialogue: 0,0:09:01.57,9:59:59.99,Default,,0,0,0,,今は 放置するしかあるまい｡
Dialogue: 0,0:09:04.41,9:59:59.99,Default,,0,0,0,,排斥するだけならば
Dialogue: 0,0:09:04.41,9:59:59.99,Default,,0,0,0,,簡単に出来るが➡
Dialogue: 0,0:09:07.08,9:59:59.99,Default,,0,0,0,,大事なのは その後だ｡
Dialogue: 0,0:09:09.75,9:59:59.99,Default,,0,0,0,,でも… 悪いことをする小物は➡
Dialogue: 0,0:09:12.59,9:59:59.99,Default,,0,0,0,,少しでも早く 排斥した方が
Dialogue: 0,0:09:12.59,9:59:59.99,Default,,0,0,0,,良いのではないですか？
Dialogue: 0,0:09:16.09,9:59:59.99,Default,,0,0,0,,ロｰゼマイン｡
Dialogue: 0,0:09:18.09,9:59:59.99,Default,,0,0,0,,悪いこととはなんだ？
Dialogue: 0,0:09:20.09,9:59:59.99,Default,,0,0,0,,え？ えっと…｡
Dialogue: 0,0:09:22.09,9:59:59.99,Default,,0,0,0,,子供を売ったり➡
Dialogue: 0,0:09:24.10,9:59:59.99,Default,,0,0,0,,金品を渡して
Dialogue: 0,0:09:24.10,9:59:59.99,Default,,0,0,0,,便宜を図って貰おうとしたり…｡
Dialogue: 0,0:09:27.77,9:59:59.99,Default,,0,0,0,,別に悪いことではなかろう？
Dialogue: 0,0:09:27.77,9:59:59.99,Default,,0,0,0,,え…？
Dialogue: 0,0:09:31.60,9:59:59.99,Default,,0,0,0,,町長は身寄りのない
Dialogue: 0,0:09:31.60,9:59:59.99,Default,,0,0,0,,子供の面倒をみる代わりに➡
Dialogue: 0,0:09:35.37,9:59:59.99,Default,,0,0,0,,所有権を持つ｡
Dialogue: 0,0:09:37.38,9:59:59.99,Default,,0,0,0,,売るか否かは 町長の自由だ｡
Dialogue: 0,0:09:40.88,0:09:45.38,Default,,0,0,0,,それは
Dialogue: 0,0:09:40.88,0:09:45.38,Default,,0,0,0,,エｰレンフェストの神殿でも同じだ｡
Dialogue: 0,0:09:47.39,9:59:59.99,Default,,0,0,0,,《ロｰゼマイン:そうだ｡
Dialogue: 0,0:09:47.39,9:59:59.99,Default,,0,0,0,,それが この世界の常識だった…》
Dialogue: 0,0:09:50.89,9:59:59.99,Default,,0,0,0,,それに 君は 賄賂と言うが➡
Dialogue: 0,0:09:53.73,9:59:59.99,Default,,0,0,0,,貴族に
Dialogue: 0,0:09:53.73,9:59:59.99,Default,,0,0,0,,融通を利かせてもらうのだ｡
Dialogue: 0,0:09:56.56,9:59:59.99,Default,,0,0,0,,心証をよくしようとするのは
Dialogue: 0,0:09:56.56,9:59:59.99,Default,,0,0,0,,当り前ではないか｡
Dialogue: 0,0:10:00.57,9:59:59.99,Default,,0,0,0,,ベンノとて 私と初めて会う時は
Dialogue: 0,0:10:00.57,9:59:59.99,Default,,0,0,0,,そうしていたと思うが？
Dialogue: 0,0:10:05.57,9:59:59.99,Default,,0,0,0,,《ロｰゼマイン:あの時は
Dialogue: 0,0:10:05.57,9:59:59.99,Default,,0,0,0,,手土産ぐらいに考えていたけど➡
Dialogue: 0,0:10:09.08,9:59:59.99,Default,,0,0,0,,そう言われると
Dialogue: 0,0:10:09.08,9:59:59.99,Default,,0,0,0,,ベンノさんと 町長と➡
Dialogue: 0,0:10:11.58,9:59:59.99,Default,,0,0,0,,何が違うのか説明できない｡
Dialogue: 0,0:10:14.41,9:59:59.99,Default,,0,0,0,,あれ？》
Dialogue: 0,0:10:16.42,9:59:59.99,Default,,0,0,0,,では 町長に罪はない？
Dialogue: 0,0:10:18.92,9:59:59.99,Default,,0,0,0,,罪はある｡
Dialogue: 0,0:10:20.92,9:59:59.99,Default,,0,0,0,,貴族である
Dialogue: 0,0:10:20.92,9:59:59.99,Default,,0,0,0,,私の命令に従わなかったこと➡
Dialogue: 0,0:10:24.26,9:59:59.99,Default,,0,0,0,,我々の決定に
Dialogue: 0,0:10:24.26,9:59:59.99,Default,,0,0,0,,異議を唱えたことだ｡
Dialogue: 0,0:10:28.43,9:59:59.99,Default,,0,0,0,,子供を売ることも
Dialogue: 0,0:10:28.43,9:59:59.99,Default,,0,0,0,,賄賂も悪いことではない…｡
Dialogue: 0,0:10:33.27,9:59:59.99,Default,,0,0,0,,そうだ｡
Dialogue: 0,0:10:33.27,9:59:59.99,Default,,0,0,0,,多少の不正をしても➡
Dialogue: 0,0:10:36.27,9:59:59.99,Default,,0,0,0,,子供を売った金で
Dialogue: 0,0:10:36.27,9:59:59.99,Default,,0,0,0,,町を潤すことができるのならば➡
Dialogue: 0,0:10:40.61,9:59:59.99,Default,,0,0,0,,ハッセの者は町長を支持する｡
Dialogue: 0,0:10:40.61,9:59:59.99,Default,,0,0,0,,え…｡
Dialogue: 0,0:10:44.78,9:59:59.99,Default,,0,0,0,,(フェルディナンド)ハッセの冬の館には➡
Dialogue: 0,0:10:46.78,9:59:59.99,Default,,0,0,0,,町民だけでなく
Dialogue: 0,0:10:46.78,9:59:59.99,Default,,0,0,0,,周辺の農村からも 人が集まると➡
Dialogue: 0,0:10:50.28,9:59:59.99,Default,,0,0,0,,ベンノは言っていた｡
Dialogue: 0,0:10:52.28,9:59:59.99,Default,,0,0,0,,それだけの人数の
Dialogue: 0,0:10:52.28,9:59:59.99,Default,,0,0,0,,面倒を見るために➡
Dialogue: 0,0:10:54.79,9:59:59.99,Default,,0,0,0,,貴族に子供を売った金で➡
Dialogue: 0,0:10:56.79,9:59:59.99,Default,,0,0,0,,冬の備えをする予定だったと
Dialogue: 0,0:10:56.79,9:59:59.99,Default,,0,0,0,,言われれば➡
Dialogue: 0,0:10:59.96,9:59:59.99,Default,,0,0,0,,子供を勝手に さらったこちらが➡
Dialogue: 0,0:11:02.13,9:59:59.99,Default,,0,0,0,,町民から憎まれる対象となる｡
Dialogue: 0,0:11:06.30,9:59:59.99,Default,,0,0,0,,《ロｰゼマイン:平民にとって
